ano_eleicao,sigla_uf,nome_municipio,descricao_cargo,num_turno,numero_zona,sigla_partido,nome_candidato,nome_urna_candidato,numero_cand,desc_sit_cand_superior,desc_sit_candidato,desc_sit_cand_tot,total_votos
2000,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,412,PTB,SANTOS NEVES,SANTOS NEVES,14676,,DEFERIDO,ELEITO,5313
2000,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,411,PFL,ALEXANDRE JOSE DA CUNHA,ALEXANDRE DA FARMÁCIA,25123,,DEFERIDO,ELEITO,5179
2000,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,282,PPS,MIRANDA UEB MACHADO,MIRANDA UEB,23690,,DEFERIDO,ELEITO,4008
2000,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,411,PSB,WALTER KATSUNORI HAYASHI,WALTER HAYASHI,40100,,DEFERIDO,ELEITO POR MÉDIA,2327
2000,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,411,PSDB,CRISTOVÃO GOMES GONÇALVES,CRISTOVÃO GONÇALVES,45633,,DEFERIDO,ELEITO,2326
2000,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,412,PFL,JOSE JORLEY DO AMARAL,JORLEY AMARAL,25500,,DEFERIDO,ELEITO,2292
2000,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,412,PSB,LEONARDO MACHADO DA SILVA,BATATINHA,40698,,DEFERIDO,SUPLENTE,2108
2000,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,282,PSDB,OSMAR ANTONIO FERREIRA,OSMAR FERREIRA,45013,,DEFERIDO,ELEITO POR MÉDIA,2103
2000,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,127,PFL,JOSE JORLEY DO AMARAL,JORLEY AMARAL,25500,,DEFERIDO,ELEITO,2052
2000,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,127,PTB,JOÃO BEZERRA SOBRINHO,JOÃO BEZERRA,14624,,DEFERIDO,ELEITO,2036
2000,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,282,PSB,DULCE RITA CHAVES DE ANDRADE DABKIEWICZ,DULCE RITA,40400,,DEFERIDO,SUPLENTE,1955
2000,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,127,PFL,CARLOS ALBERTO MACEDO BASTOS,MACEDO BASTOS,25100,,DEFERIDO,SUPLENTE,1806
2000,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,411,PSDB,CRISTIANO PINTO FERREIRA,CRISTIANO PINTO FERREIRA,45699,,DEFERIDO,ELEITO POR MÉDIA,1743
2000,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,411,PL,BENEDITO ROBERTO ALVES FERREIRA,PASTOR ROBERTO DE JESUS,22333,,DEFERIDO,NÃO ELEITO,1701
2000,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,412,PHS,LINO BISPO DA ROCHA,LINO BISPO,31661,,DEFERIDO,SUPLENTE,1692
2000,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,412,PMDB,ROBERTO DA PENHA RAMOS,ROBERTINHO DA PADARIA,15568,,DEFERIDO,SUPLENTE,1650
2000,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,412,PSDB,DILERMANDO DIÉ ANTONIO DE ALVARENGA,DILERMANDO DIÉ,45678,,DEFERIDO,ELEITO,1649
2000,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,412,PL,BENEDITO ROBERTO ALVES FERREIRA,PASTOR ROBERTO DE JESUS,22333,,DEFERIDO,NÃO ELEITO,1612
2000,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,127,PSDB,HELIO NISHIMOTO,HÉLIO NISHIMOTO,45610,,DEFERIDO,ELEITO,1600
2000,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,127,PFL,ALOISIO PETITI,ALOISIO PETITI FARM COMUNITARI,25605,,DEFERIDO,ELEITO POR MÉDIA,1510
2000,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,412,PPB,VALDIR ALVARENGA,VALDIR ALVARENGA,11636,,DEFERIDO,ELEITO,1466
2000,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,282,PT,MARIA IZELIA DA CONCEIÇÃO,IZELIA,13620,,DEFERIDO,ELEITO,1422
2000,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,412,PSB,ANTONIO ROBERTO BARBOSA,ROBERTO BARBOSA,40123,,DEFERIDO,ELEITO,1415
2000,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,282,PT,JOÃO GILBERTO RIBEIRO,GIBA,13300,,DEFERIDO,ELEITO,1330
2000,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,411,PFL,JOSE JORLEY DO AMARAL,JORLEY AMARAL,25500,,DEFERIDO,ELEITO,1310
2000,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,412,PSDB,HELIO NISHIMOTO,HÉLIO NISHIMOTO,45610,,DEFERIDO,ELEITO,1301
2000,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,127,PL,BENEDITO ROBERTO ALVES FERREIRA,PASTOR ROBERTO DE JESUS,22333,,DEFERIDO,NÃO ELEITO,1252
