ano_eleicao,sigla_uf,nome_municipio,descricao_cargo,num_turno,numero_zona,sigla_partido,nome_candidato,nome_urna_candidato,numero_cand,desc_sit_cand_superior,desc_sit_candidato,desc_sit_cand_tot,total_votos
2004,SP,SAO JOSE DOS CAMPOS,PREFEITO,1,412,PSDB,EDUARDO PEDROSA CURY,EDUARDO CURY,45,,DEFERIDO,ELEITO,57956
2004,SP,SAO JOSE DOS CAMPOS,PREFEITO,1,411,PSDB,EDUARDO PEDROSA CURY,EDUARDO CURY,45,,DEFERIDO,ELEITO,47685
2004,SP,SAO JOSE DOS CAMPOS,PREFEITO,1,127,PSDB,EDUARDO PEDROSA CURY,EDUARDO CURY,45,,DEFERIDO,ELEITO,47498
2004,SP,SAO JOSE DOS CAMPOS,PREFEITO,1,411,PT,CARLOS JOSÉ DE ALMEIDA,CARLINHOS ALMEIDA,13,,DEFERIDO,NÃO ELEITO,31134
2004,SP,SAO JOSE DOS CAMPOS,PREFEITO,1,412,PT,CARLOS JOSÉ DE ALMEIDA,CARLINHOS ALMEIDA,13,,DEFERIDO,NÃO ELEITO,29923
2004,SP,SAO JOSE DOS CAMPOS,PREFEITO,1,282,PSDB,EDUARDO PEDROSA CURY,EDUARDO CURY,45,,DEFERIDO,ELEITO,26566
2004,SP,SAO JOSE DOS CAMPOS,PREFEITO,1,127,PT,CARLOS JOSÉ DE ALMEIDA,CARLINHOS ALMEIDA,13,,DEFERIDO,NÃO ELEITO,20841
2004,SP,SAO JOSE DOS CAMPOS,PREFEITO,1,282,PT,CARLOS JOSÉ DE ALMEIDA,CARLINHOS ALMEIDA,13,,DEFERIDO,NÃO ELEITO,19928
2004,SP,SAO JOSE DOS CAMPOS,PREFEITO,1,412,PDT,FERNANDO BAPTISTA DA COSTA,FERNANDO COSTA,12,,DEFERIDO,NÃO ELEITO,3996
2004,SP,SAO JOSE DOS CAMPOS,PREFEITO,1,412,PMDB,ITAMAR COPPIO,ITAMAR COPPIO,15,,DEFERIDO,NÃO ELEITO,3670
2004,SP,SAO JOSE DOS CAMPOS,PREFEITO,1,411,PMDB,ITAMAR COPPIO,ITAMAR COPPIO,15,,DEFERIDO,NÃO ELEITO,2757
2004,SP,SAO JOSE DOS CAMPOS,PREFEITO,1,127,PMDB,ITAMAR COPPIO,ITAMAR COPPIO,15,,DEFERIDO,NÃO ELEITO,2724
2004,SP,SAO JOSE DOS CAMPOS,PREFEITO,1,127,PDT,FERNANDO BAPTISTA DA COSTA,FERNANDO COSTA,12,,DEFERIDO,NÃO ELEITO,2646
2004,SP,SAO JOSE DOS CAMPOS,PREFEITO,1,411,PDT,FERNANDO BAPTISTA DA COSTA,FERNANDO COSTA,12,,DEFERIDO,NÃO ELEITO,2638
2004,SP,SAO JOSE DOS CAMPOS,PREFEITO,1,412,PSTU,LUIZ CARLOS PRATES,LUIZ CARLOS MANCHA PRATES,16,,DEFERIDO,NÃO ELEITO,1755
2004,SP,SAO JOSE DOS CAMPOS,PREFEITO,1,282,PMDB,ITAMAR COPPIO,ITAMAR COPPIO,15,,DEFERIDO,NÃO ELEITO,1647
2004,SP,SAO JOSE DOS CAMPOS,PREFEITO,1,282,PDT,FERNANDO BAPTISTA DA COSTA,FERNANDO COSTA,12,,DEFERIDO,NÃO ELEITO,1627
2004,SP,SAO JOSE DOS CAMPOS,PREFEITO,1,411,PSTU,LUIZ CARLOS PRATES,LUIZ CARLOS MANCHA PRATES,16,,DEFERIDO,NÃO ELEITO,1179
2004,SP,SAO JOSE DOS CAMPOS,PREFEITO,1,127,PSTU,LUIZ CARLOS PRATES,LUIZ CARLOS MANCHA PRATES,16,,DEFERIDO,NÃO ELEITO,888
2004,SP,SAO JOSE DOS CAMPOS,PREFEITO,1,411,PV,FABRICIO ALBERTO CORREIA,FABRICIO CORREIA,43,,DEFERIDO,NÃO ELEITO,866
2004,SP,SAO JOSE DOS CAMPOS,PREFEITO,1,412,PV,FABRICIO ALBERTO CORREIA,FABRICIO CORREIA,43,,DEFERIDO,NÃO ELEITO,834
2004,SP,SAO JOSE DOS CAMPOS,PREFEITO,1,127,PV,FABRICIO ALBERTO CORREIA,FABRICIO CORREIA,43,,DEFERIDO,NÃO ELEITO,793
2004,SP,SAO JOSE DOS CAMPOS,PREFEITO,1,282,PSTU,LUIZ CARLOS PRATES,LUIZ CARLOS MANCHA PRATES,16,,DEFERIDO,NÃO ELEITO,736
2004,SP,SAO JOSE DOS CAMPOS,PREFEITO,1,412,PAN,ROSEMÁRIO MARTINS BERNARDINO,PASTOR ROSEMÁRIO MORENO,26,,DEFERIDO,NÃO ELEITO,601
2004,SP,SAO JOSE DOS CAMPOS,PREFEITO,1,282,PV,FABRICIO ALBERTO CORREIA,FABRICIO CORREIA,43,,DEFERIDO,NÃO ELEITO,383
2004,SP,SAO JOSE DOS CAMPOS,PREFEITO,1,411,PAN,ROSEMÁRIO MARTINS BERNARDINO,PASTOR ROSEMÁRIO MORENO,26,,DEFERIDO,NÃO ELEITO,163
2004,SP,SAO JOSE DOS CAMPOS,PREFEITO,1,127,PAN,ROSEMÁRIO MARTINS BERNARDINO,PASTOR ROSEMÁRIO MORENO,26,,DEFERIDO,NÃO ELEITO,151
2004,SP,SAO JOSE DOS CAMPOS,PREFEITO,1,282,PAN,ROSEMÁRIO MARTINS BERNARDINO,PASTOR ROSEMÁRIO MORENO,26,,DEFERIDO,NÃO ELEITO,108
